id, !, !=, #, &&, (, ), *, +, comma, -, /, ;, <, <=, =, ==, >, >=, UFLOAT, UINT, do, double, id, if, int, printf, scanf, then, while, {, ||, }, ANDITEM, ASSIGN, B, BANDTERM, BFACTOR, BORTERM, EXPR, FACTOR, ID, ITEM, L, M, MUL_DIV, N, NOITEM, ORITEM, PLUS_MINUS, PRINTF, PRINTF_BEGIN, PROG, REL, RELITEM, S', SCANF, SCANF_BEGIN, STATEMENT, SUBPROG, T, VARIABLE, VARIABLES
38, , s90 , , r45 , , , , , , , , , s91 , s92 , , s93 , s94 , s95 , , , , , , , , , , r45 , , , r45 , , , , , , , , , , , , , , , , , , , , , , 96 , , , , , , , , , 
39, , , , s97 , , , , , , , , , , , , , , , , , , , , , , , , r39 , , , r39 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40, , r48 , , r48 , , , , , , , , , r48 , r48 , , r48 , r48 , r48 , , , , , , , , , , r48 , , , r48 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41, , r47 , , r47 , , , , , , , , , r47 , r47 , , r47 , r47 , r47 , , , , , , , , , , r47 , , , r47 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42, , r46 , , r46 , , , , , , , , , r46 , r46 , , r46 , r46 , r46 , , , , , , , , , , r46 , , , r46 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43, , r8 , , r8 , , , , , , , , , r8 , r8 , , r8 , r8 , r8 , , , , , , , , , , r8 , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44, , , , , , , , , , , , , , , , , , , , , , , s75 , , , , , , , , , , , , , , , , , , 98 , , , , , , , , , , , , , , , , , , , , , 
45, , , , , , , , , , , , , , , , , , , , , , , s75 , , , , , , , , , , , , , , , , , , 99 , , , , , , , , , , , , , , , , , , , , , 
46, s100 , , , , s101 , , , , , , , , , , , , , , s107 , s108 , , , s109 , , , , , , , , , , , , 102 , 103 , 104 , 105 , , , 106 , , , , , , , , , , , , , , , , , , , , , 
47, , , , , , , , , , , , r11 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48, , , , , , , , , , , , , , , s110 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
49, , , , , , , , , , , , s111 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50, , , , , , , , , , , , r13 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51, , , , , , s112 , , , s30 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52, , , , , , , , , , , , r12 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53, , , , , , s113 , , , s32 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54, , , , , , , , , , , , r20 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
55, s34 , , , , s35 , , , , , , , , , , , , , , s41 , s42 , , , s43 , , , , , , , , , , , , 114 , 37 , 38 , 39 , , , 40 , , , , , , , , , , , , , , , , , , , , , 
56, r3 , , , , r3 , , , , , , , , , , , , , , r3 , r3 , , , r3 , , , , , , , , , , , , , , , , , , , , , , , 115 , , , , , , , , , , , , , , , , 
57, , , , , , , , , , , , r14 , , , , , , , , , , , s21 , s55 , , s23 , s24 , , s56 , s57 , , , , 47 , , , , , , , 48 , , 116 , , , , , , , 50 , 51 , , , , , 52 , 53 , 54 , , , , 
58, , , , , s59 , , , s60 , , s61 , , , , , , , , , s71 , s72 , , , s73 , , , , , , , , , , , , , , , , , 64 , 65 , 66 , , , , , 117 , , 69 , , , , , 70 , , , , , , , , 
59, s118 , , , , s119 , , , s60 , , s61 , , , , , , , , , s129 , s130 , , , s131 , , , , , , , , , , 120 , , , , , , 121 , 122 , 123 , 124 , , , , , 125 , 126 , 127 , , , , , 128 , , , , , , , , 
60, , , , , r49 , , , r49 , , r49 , , , , , , , , , r49 , r49 , , , r49 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
61, , , , , r50 , , , r50 , , r50 , , , , , , , , , r50 , r50 , , , r50 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
62, , , r24 , r24 , , , , , , , , , , , , , , , , , , , , , , , , , , , r24 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
63, , , r18 , , , , , , , , , , , , , , , , , , , , , , , , , , , , s132 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
64, , r31 , r31 , r31 , , , r31 , r31 , , r31 , r31 , , r31 , r31 , , r31 , r31 , r31 , , , , , , , , , , , , , r31 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
65, , r33 , r33 , r33 , , , r33 , r33 , , r33 , r33 , , r33 , r33 , , r33 , r33 , r33 , , , , , , , , , , , , , r33 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
66, , r30 , r30 , r30 , , , s133 , r30 , , r30 , s134 , , r30 , r30 , , r30 , r30 , r30 , , , , , , , , , , , , , r30 , , , , , , , , , , , , , , 135 , , , , , , , , , , , , , , , , , 
67, , s136 , r25 , r25 , , , , , , , , , s137 , s138 , , s139 , s140 , s141 , , , , , , , , , , , , , r25 , , , , , , , , , , , , , , , , , , , , , , 142 , , , , , , , , , 
68, , , r22 , s143 , , , , , , , , , , , , , , , , , , , , , , , , , , , r22 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
69, , , , , s59 , , , s60 , , s61 , , , , , , , , , s71 , s72 , , , s73 , , , , , , , , , , , , , , , , , 144 , 65 , , , , , , , , 69 , , , , , , , , , , , , , 
70, , r28 , r28 , r28 , , , , s60 , , s61 , , , r28 , r28 , , r28 , r28 , r28 , , , , , , , , , , , , , r28 , , , , , , , , , , , , , , , , , , 145 , , , , , , , , , , , , , 
71, , r35 , r35 , r35 , , , r35 , r35 , , r35 , r35 , , r35 , r35 , , r35 , r35 , r35 , , , , , , , , , , , , , r35 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72, , r34 , r34 , r34 , , , r34 , r34 , , r34 , r34 , , r34 , r34 , , r34 , r34 , r34 , , , , , , , , , , , , , r34 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73, , r8 , r8 , r8 , , , r8 , r8 , , r8 , r8 , , r8 , r8 , , r8 , r8 , r8 , , , , , , , , , , , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74, , , , , , r64 , , , r64 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75, , , , , , r8 , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
