id, !, !=, #, &&, (, ), *, +, comma, -, /, ;, <, <=, =, ==, >, >=, UFLOAT, UINT, do, double, id, if, int, printf, scanf, then, while, {, ||, }, ANDITEM, ASSIGN, B, BANDTERM, BFACTOR, BORTERM, EXPR, FACTOR, ID, ITEM, L, M, MUL_DIV, N, NOITEM, ORITEM, PLUS_MINUS, PRINTF, PRINTF_BEGIN, PROG, REL, RELITEM, S', SCANF, SCANF_BEGIN, STATEMENT, SUBPROG, T, VARIABLE, VARIABLES
150, , , , , , , , , , , , , , , , , , , s203 , s204 , , , s205 , , , , , , , , , , , , , , 201 , , , , 202 , , , , , , , , , , , , , , , , , , , , , 
151, r3 , , , , r3 , , , , , , , , , , , , , , r3 , r3 , , , r3 , , , , , , , , , , , , , , , , , , , , , , , 206 , , , , , , , , , , , , , , , , 
152, , , r14 , , , , , , , , , , , , , , , , , , , , s21 , s22 , , s23 , s24 , , s25 , s26 , , , , 13 , , , , , , , 14 , , , , , , , , , 15 , 16 , , , , , 17 , 18 , 207 , , , , 
153, s34 , , , , s35 , , , , , , , , , , , , , , s41 , s42 , , , s43 , , , , , , , , , , , , , 37 , 38 , 208 , , , 40 , , , , , , , , , , , , , , , , , , , , , 
154, , , , r44 , , , , , , , , , , , , , , , , , , , , , , , , r44 , , , r44 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
155, , , , r48 , , , , , , , , , , , , , , , , , , , , , , , , r48 , , , r48 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
156, , , , r47 , , , , , , , , , , , , , , , , , , , , , , , , r47 , , , r47 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
157, , , , r46 , , , , , , , , , , , , , , , , , , , , , , , , r46 , , , r46 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
158, , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , r8 , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
159, s34 , , , , s35 , , , , , , , , , , , , , , s41 , s42 , , , s43 , , , , , , , , , , , , , 209 , 38 , , , , 40 , , , , , , , , , , , , , , , , , , , , , 
160, , , , r43 , , , , , , , , , , , , , , , , , r43 , , , , , , , , , , r43 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
161, , , , , , s210 , , , , , , , , , , , , , , , , , , , , , , , , , s149 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
162, , , r3 , , , , , , , , , , , , , , , , , , , , r3 , r3 , , r3 , r3 , , r3 , r3 , , , , , , , , , , , , , , , , 211 , , , , , , , , , , , , , , , , 
163, r3 , , , , r3 , , , , , , , , , , , , , , r3 , r3 , , , r3 , , , , , , , , , , , , , , , , , , , , , , , 212 , , , , , , , , , , , , , , , , 
164, , , , , , , , , , , , , , , , , , , s215 , s216 , , , s217 , , , , , , , , , , , , , , 213 , , , , 214 , , , , , , , , , , , , , , , , , , , , , 
165, r3 , , , , r3 , , , , , , , , , , , , , , r3 , r3 , , , r3 , , , , , , , , , , , , , , , , , , , , , , , 218 , , , , , , , , , , , , , , , , 
166, , , , , s167 , , , s60 , , s61 , , , , , , , , , s177 , s178 , , , s179 , , , , , , , , , , , , , , , , , 170 , 171 , 172 , , , , , 219 , , 175 , , , , , 176 , , , , , , , , 
167, s118 , , , , s119 , , , s60 , , s61 , , , , , , , , , s129 , s130 , , , s131 , , , , , , , , , , 120 , , , , , , 220 , 122 , 123 , 124 , , , , , 125 , 126 , 127 , , , , , 128 , , , , , , , , 
168, , , , r24 , , , , , , , , r24 , , , , , , , , , , , , , , , , , , , r24 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
169, , , , , , , , , , , , r18 , , , , , , , , , , , , , , , , , , , s221 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
170, , r31 , , r31 , , , r31 , r31 , , r31 , r31 , r31 , r31 , r31 , , r31 , r31 , r31 , , , , , , , , , , , , , r31 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
171, , r33 , , r33 , , , r33 , r33 , , r33 , r33 , r33 , r33 , r33 , , r33 , r33 , r33 , , , , , , , , , , , , , r33 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
172, , r30 , , r30 , , , s133 , r30 , , r30 , s134 , r30 , r30 , r30 , , r30 , r30 , r30 , , , , , , , , , , , , , r30 , , , , , , , , , , , , , , 222 , , , , , , , , , , , , , , , , , 
173, , s136 , , r25 , , , , , , , , r25 , s137 , s138 , , s139 , s140 , s141 , , , , , , , , , , , , , r25 , , , , , , , , , , , , , , , , , , , , , , 223 , , , , , , , , , 
174, , , , s224 , , , , , , , , r22 , , , , , , , , , , , , , , , , , , , r22 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
175, , , , , s167 , , , s60 , , s61 , , , , , , , , , s177 , s178 , , , s179 , , , , , , , , , , , , , , , , , 225 , 171 , , , , , , , , 175 , , , , , , , , , , , , , 
176, , r28 , , r28 , , , , s60 , , s61 , , r28 , r28 , r28 , , r28 , r28 , r28 , , , , , , , , , , , , , r28 , , , , , , , , , , , , , , , , , , 226 , , , , , , , , , , , , , 
177, , r35 , , r35 , , , r35 , r35 , , r35 , r35 , r35 , r35 , r35 , , r35 , r35 , r35 , , , , , , , , , , , , , r35 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
178, , r34 , , r34 , , , r34 , r34 , , r34 , r34 , r34 , r34 , r34 , , r34 , r34 , r34 , , , , , , , , , , , , , r34 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
179, , r8 , , r8 , , , r8 , r8 , , r8 , r8 , r8 , r8 , r8 , , r8 , r8 , r8 , , , , , , , , , , , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
180, , , , , , , , , , , , r14 , , , , , , , , , , , s21 , s55 , , s23 , s24 , , s56 , s57 , , , , 47 , , , , , , , 48 , , , , , , , , , 50 , 51 , , , , , 52 , 53 , 227 , , , , 
181, , , r15 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
182, , , , , , , , , , , , r3 , , , , , , , , , , , r3 , r3 , , r3 , r3 , , r3 , r3 , , , , , , , , , , , , , , , , 228 , , , , , , , , , , , , , , , , 
183, , , , , , , , , , , , , , , , , , , , , s229 , , , , , , , , , , s163 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
184, , , , , , , , , , , , r3 , , , , , , , , , , , r3 , r3 , , r3 , r3 , , r3 , r3 , , s230 , , , , , , , , , , , , , , 180 , , , , , , , , , , , , , , , , 
185, , s136 , , r26 , , r26 , , , , , , , s137 , s138 , , s139 , s140 , s141 , , , , , , , , , , , , , r26 , , , , , , , , , , , , , , , , , , , , , , 190 , , , , , , , , , 
186, , , , , , s231 , , , , , , , , , , , , , , , , , , , , , , , , , s188 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
187, , r36 , r36 , r36 , , , r36 , r36 , , r36 , r36 , , r36 , r36 , , r36 , r36 , r36 , , , , , , , , , , , , , r36 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
188, s118 , , , , s119 , , , s60 , , s61 , , , , , , , , , s129 , s130 , , , s131 , , , , , , , , , , 120 , , , , , , , 122 , 123 , 124 , , , , , 125 , 232 , 127 , , , , , 128 , , , , , , , , 
189, , , , , s119 , , , s60 , , s61 , , , , , , , , , s129 , s130 , , , s131 , , , , , , , , , , , , , , , , , 233 , 123 , , , , , , , , 127 , , , , , , , , , , , , , 
190, , , , , s119 , , , s60 , , s61 , , , , , , , , , s129 , s130 , , , s131 , , , , , , , , , , , , , , , , , 122 , 123 , 124 , , , , , , , 127 , , , , , 234 , , , , , , , , 
191, s118 , , , , s119 , , , s60 , , s61 , , , , , , , , , s129 , s130 , , , s131 , , , , , , , , , , 235 , , , , , , , 122 , 123 , 124 , , , , , 125 , , 127 , , , , , 128 , , , , , , , , 
192, , r37 , , r37 , , r37 , r37 , r37 , , r37 , r37 , , r37 , r37 , , r37 , r37 , r37 , , , , , , , , , , , , , r37 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
193, , , , , s119 , , , s60 , , s61 , , , , , , , , , s129 , s130 , , , s131 , , , , , , , , , , , , , , , , , 122 , 123 , 236 , , , , , , , 127 , , , , , , , , , , , , , 
194, , , r21 , s143 , , , , , , , , , , , , , , , , , , , , , , , , , , , r21 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
195, , r32 , r32 , r32 , , , r32 , r32 , , r32 , r32 , , r32 , r32 , , r32 , r32 , r32 , , , , , , , , , , , , , r32 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
196, , r27 , r27 , r27 , , , , s60 , , s61 , , , r27 , r27 , , r27 , r27 , r27 , , , , , , , , , , , , , r27 , , , , , , , , , , , , , , , , , , 145 , , , , , , , , , , , , , 
197, , , r23 , r23 , , , , , , , , , , , , , , , , , , , , , , , , , , , r23 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
198, , r29 , r29 , r29 , , , s133 , r29 , , r29 , s134 , , r29 , r29 , , r29 , r29 , r29 , , , , , , , , , , , , , r29 , , , , , , , , , , , , , , 135 , , , , , , , , , , , , , , , , , 
199, , , , r42 , , r42 , , , , , , , , , , , , , , , , , , , , , , , , , r42 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
200, s78 , , , , s79 , , , , , , , , , , , , , , s85 , s86 , , , s87 , , , , , , , , , , , , , 81 , 82 , 237 , , , 84 , , , , , , , , , , , , , , , , , , , , , 
201, , , , r44 , , r44 , , , , , , , , , , , , , , , , , , , , , , , , , r44 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
202, , , , r48 , , r48 , , , , , , , , , , , , , , , , , , , , , , , , , r48 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
203, , , , r47 , , r47 , , , , , , , , , , , , , , , , , , , , , , , , , r47 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
204, , , , r46 , , r46 , , , , , , , , , , , , , , , , , , , , , , , , , r46 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
205, , , , r8 , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
206, s78 , , , , s79 , , , , , , , , , , , , , , s85 , s86 , , , s87 , , , , , , , , , , , , , 238 , 82 , , , , 84 , , , , , , , , , , , , , , , , , , , , , 
207, , , r17 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
208, , , , s97 , , , , , , , , , , , , , , , , , , , , , , , , r38 , , , r38 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
209, , , , r40 , , , , , , , , , , , , , , , , , , , , , , , , r40 , , , r40 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
210, , , , r42 , , , , , , , , , , , , , , , , , r42 , , , , , , , , , , r42 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
211, , , r14 , , , , , , , , , , , , , , , , , , , , s21 , s22 , , s23 , s24 , , s25 , s26 , , , , 13 , , , , , , , 14 , , , , , , , , , 15 , 16 , , , , , 17 , 18 , 239 , , , , 
212, s100 , , , , s101 , , , , , , , , , , , , , , s107 , s108 , , , s109 , , , , , , , , , , , , , 103 , 104 , 240 , , , 106 , , , , , , , , , , , , , , , , , , , , , 
213, , , , r44 , , , , , , , , , , , , , , , , , r44 , , , , , , , , , , r44 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
214, , , , r48 , , , , , , , , , , , , , , , , , r48 , , , , , , , , , , r48 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
215, , , , r47 , , , , , , , , , , , , , , , , , r47 , , , , , , , , , , r47 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
216, , , , r46 , , , , , , , , , , , , , , , , , r46 , , , , , , , , , , r46 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
217, , , , r8 , , , , , , , , , , , , , , , , , r8 , , , , , , , , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
218, s100 , , , , s101 , , , , , , , , , , , , , , s107 , s108 , , , s109 , , , , , , , , , , , , , 241 , 104 , , , , 106 , , , , , , , , , , , , , , , , , , , , , 
219, , s136 , , r26 , , , , , , , , r26 , s137 , s138 , , s139 , s140 , s141 , , , , , , , , , , , , , r26 , , , , , , , , , , , , , , , , , , , , , , 223 , , , , , , , , , 
220, , , , , , s242 , , , , , , , , , , , , , , , , , , , , , , , , , s188 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
221, s166 , , , , s167 , , , s60 , , s61 , , , , , , , , , s177 , s178 , , , s179 , , , , , , , , , , 168 , , , , , , , 170 , 171 , 172 , , , , , 173 , 243 , 175 , , , , , 176 , , , , , , , , 
222, , , , , s167 , , , s60 , , s61 , , , , , , , , , s177 , s178 , , , s179 , , , , , , , , , , , , , , , , , 244 , 171 , , , , , , , , 175 , , , , , , , , , , , , , 
223, , , , , s167 , , , s60 , , s61 , , , , , , , , , s177 , s178 , , , s179 , , , , , , , , , , , , , , , , , 170 , 171 , 172 , , , , , , , 175 , , , , , 245 , , , , , , , , 
224, s166 , , , , s167 , , , s60 , , s61 , , , , , , , , , s177 , s178 , , , s179 , , , , , , , , , , 246 , , , , , , , 170 , 171 , 172 , , , , , 173 , , 175 , , , , , 176 , , , , , , , , 
225, , r37 , , r37 , , , r37 , r37 , , r37 , r37 , r37 , r37 , r37 , , r37 , r37 , r37 , , , , , , , , , , , , , r37 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
226, , , , , s167 , , , s60 , , s61 , , , , , , , , , s177 , s178 , , , s179 , , , , , , , , , , , , , , , , , 170 , 171 , 247 , , , , , , , 175 , , , , , , , , , , , , , 
227, , , , , , , , , , , , r19 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
228, , , , , , , , , , , , r14 , , , , , , , , , , , s21 , s55 , , s23 , s24 , , s56 , s57 , , , , 47 , , , , , , , 48 , , , , , , , , , 50 , 51 , , , , , 52 , 53 , 248 , , , , 
229, , , , , , , , , , , , r3 , , , , , , , , , , , r3 , r3 , , r3 , r3 , , r3 , r3 , , , , , , , , , , , , , , , , 249 , , , , , , , , , , , , , , , , 
230, , , , , , , , , , , , r15 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
231, , r36 , , r36 , , r36 , r36 , r36 , , r36 , r36 , , r36 , r36 , , r36 , r36 , r36 , , , , , , , , , , , , , r36 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
232, , , , s191 , , r21 , , , , , , , , , , , , , , , , , , , , , , , , , r21 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
233, , r32 , , r32 , , r32 , r32 , r32 , , r32 , r32 , , r32 , r32 , , r32 , r32 , r32 , , , , , , , , , , , , , r32 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
234, , r27 , , r27 , , r27 , , s60 , , s61 , , , r27 , r27 , , r27 , r27 , r27 , , , , , , , , , , , , , r27 , , , , , , , , , , , , , , , , , , 193 , , , , , , , , , , , , , 
235, , , , r23 , , r23 , , , , , , , , , , , , , , , , , , , , , , , , , r23 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
236, , r29 , , r29 , , r29 , s133 , r29 , , r29 , s134 , , r29 , r29 , , r29 , r29 , r29 , , , , , , , , , , , , , r29 , , , , , , , , , , , , , , 189 , , , , , , , , , , , , , , , , , 
237, , , , s151 , , r38 , , , , , , , , , , , , , , , , , , , , , , , , , r38 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
238, , , , r40 , , r40 , , , , , , , , , , , , , , , , , , , , , , , , , r40 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
239, , , r16 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
240, , , , s165 , , , , , , , , , , , , , , , , , r38 , , , , , , , , , , r38 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
241, , , , r40 , , , , , , , , , , , , , , , , , r40 , , , , , , , , , , r40 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
242, , r36 , , r36 , , , r36 , r36 , , r36 , r36 , r36 , r36 , r36 , , r36 , r36 , r36 , , , , , , , , , , , , , r36 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
243, , , , s224 , , , , , , , , r21 , , , , , , , , , , , , , , , , , , , r21 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
244, , r32 , , r32 , , , r32 , r32 , , r32 , r32 , r32 , r32 , r32 , , r32 , r32 , r32 , , , , , , , , , , , , , r32 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
245, , r27 , , r27 , , , , s60 , , s61 , , r27 , r27 , r27 , , r27 , r27 , r27 , , , , , , , , , , , , , r27 , , , , , , , , , , , , , , , , , , 226 , , , , , , , , , , , , , 
246, , , , r23 , , , , , , , , r23 , , , , , , , , , , , , , , , , , , , r23 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
247, , r29 , , r29 , , , s133 , r29 , , r29 , s134 , r29 , r29 , r29 , , r29 , r29 , r29 , , , , , , , , , , , , , r29 , , , , , , , , , , , , , , 222 , , , , , , , , , , , , , , , , , 
248, , , , , , , , , , , , r17 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
249, , , , , , , , , , , , r14 , , , , , , , , , , , s21 , s55 , , s23 , s24 , , s56 , s57 , , , , 47 , , , , , , , 48 , , , , , , , , , 50 , 51 , , , , , 52 , 53 , 250 , , , , 
250, , , , , , , , , , , , r16 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
